İl Toplam CHP DP BĞMZ İl Toplam CHP DP BĞMZ
Toplam 465 397 61 7
Adana  10 10 0 0 İstanbul 23 5 15 3
Afyonkarahisar 8 0 8 0 İzmir 16 16 0 0
Ağrı 3 3 0 0 Kars 9 9 0 0
Amasya 4 4 0 0 Kastamonu 9 8 0 1
Ankara 17 17 0 0 Kayseri 9 6 3 0
Antalya 7 7 0 0 Kırklareli 5 5 0 0
Artvin  5 5 0 0 Kırşehir 4 4 0 0
Aydın 7 7 0 0 Kocaeli 10 10 0 0
Balıkesir 13 13 0 0 Konya 16 16 0 0
Bilecik 3 3 0 0 Kütahya 10 3 7 0
Bingöl 2 2 0 0 Malatya 11 11 0 0
Bitlis 2 2 0 0 Manisa 11 11 0 0
Bolu 7 7 0 0 Maraş 6 5 0 1
Burdur 3 2 0 1 Mardin 7 7 0 0
Bursa 12 12 0 0 Muğla 5 1 4 0
Çanakkale 6 0 6 0 Muş 2 2 0 0
Çankırı 5 5 0 0 Niğde 7 7 0 0
Çorum 8 8 0 0 Ordu 8 8 0 0
Denizli 8 7 0 1 Rize 6 6 0 0
Diyarbakır 7 7 0 0 Samsun 10 10 0 0
Edirne 5 2 3 0 Siirt 4 4 0 0
Elazığ 5 5 0 0 Sinop 5 2 3 0
Erzincan 5 5 0 0 Sivas 12 12 0 0
Erzurum 10 10 0 0 Tekirdağ 5 5 0 0
Eskişehir 6 1 5 0 Tokat 8 8 0 0
Gaziantep 7 7 0 0 Trabzon 12 12 0 0
Giresun 8 8 0 0 Tunceli 2 2 0 0
Gümüşhane 6 6 0 0 Urfa 6 6 0 0
Hakkari 1 1 0 0 Van 3 3 0 0
Hatay 6 6 0 0 Yozgat 7 7 0 0
Isparta 5 5 0 0 Zonguldak 9 9 0 0
İçel 7 0 7 0

İl Toplam CHP DP MİLLETPARTİSİ BĞMZ İl Toplam CHP DP MİLLETPARTİSİ BĞMZ
Toplam 487 69 416 1 1
Adana  11 0 11 0 0 İstanbul 27 0 27 0 0
Afyonkarahisar 9 0 9 0 0 İzmir 17 0 17 0 0
Ağrı 3 0 3 0 0 Kars 10 10 0 0 0
Amasya 4 0 4 0 0 Kastamonu 10 1 9 0 0
Ankara 18 0 18 0 0 Kayseri 9 0 9 0 0
Antalya 7 0 7 0 0 Kırklareli 5 0 5 0 0
Artvin  5 0 5 0 0 Kırşehir 4 1 2 1 0
Aydın 7 0 7 0 0 Kocaeli 11 0 11 0 0
Balıkesir 13 0 13 0 0 Konya 17 0 17 0 0
Bilecik 4 0 4 0 0 Kütahya 10 1 9 0 0
Bingöl 2 2 0 0 0 Malatya 11 11 0 0 0
Bitlis 2 2 0 0 0 Manisa 12 0 12 0 0
Bolu 7 0 7 0 0 Maraş 7 0 7 0 0
Burdur 3 0 3 0 0 Mardin 7 3 3 0 1
Bursa 12 0 12 0 0 Muğla 6 0 6 0 0
Çanakkale 8 0 8 0 0 Muş 2 0 2 0 0
Çankırı 5 0 5 0 0 Niğde 8 0 8 0 0
Çorum 8 0 8 0 0 Ordu 8 6 2 0 0
Denizli 8 0 8 0 0 Rize 6 0 6 0 0
Diyarbakır 7 0 7 0 0 Samsun 10 0 10 0 0
Edirne 5 0 5 0 0 Siirt 4 0 4 0 0
Elazığ 5 0 5 0 0 Sinop 5 5 0 0 0
Erzincan 5 5 0 0 0 Sivas 12 0 12 0 0
Erzurum 10 0 10 0 0 Tekirdağ 5 0 50 0
Eskişehir 6 0 6 0 0 Tokat 9 1 8 0 0
Gaziantep 7 0 7 0 0 Trabzon 12 9 3 0 0
Giresun 8 0 8 0 0 Tunceli 2 0 2 0 0
Gümüşhane 6 0 6 0 0 Urfa 7 1 6 0 0
Hakkari 1 1 0 0 0 Van 3 2 1 0 0
Hatay 6 6 0 0 0 Yozgat 7 1 6 0 0
Isparta 5 0 5 0 0 Zonguldak 10 1 9 0 0
İçel 7 0 7 0 0

İl Toplam CHP CMP DP BĞMZ İl Toplam CHP CMP DP BĞMZ
Toplam 541 31 5 503 2
Adana  13 0 0 13 0 İstanbul 29 0 0 29 0
Afyon 9 0 0 9 0 İzmir 20 0 0 20 0
Ağrı 4 0 0 4 0 Kars 10 10 0 0 0
Amasya 5 0 0 5 0 Kastamonu 10 0 0 10 0
Ankara 21 0 0 21 0 Kayseri 10 0 0 10 0
Antalya 8 0 0 8 0 Kırklareli 5 0 0 5 0
Artvin  5 0 0 5 0 Kırşehir 5 0 5 0 0
Aydın 9 0 0 9 0 Kocaeli 12 0 0 12 0
Balıkesir 14 0 0 14 0 Konya 19 0 0 19 0
Bilecik 4 0 0 4 0 Kütahya 8 0 0 8 0
Bingöl 3 0 0 2 1 Malatya 12 12 0 0 0
Bitlis 2 0 0 2 0 Manisa 12 0 0 12 0
Bolu 8 0 0 8 0 Maraş 7 0 0 7 0
Burdur 4 0 0 4 0 Mardin 7 0 0 7 0
Bursa 14 0 0 14 0 Muğla 6 0 0 6 0
Çanakkale 8 0 0 8 0 Muş 3 0 0 2 1
Çankırı 6 0 0 6 0 Niğde 8 0 0 8 0
Çorum 9 0 0 9 0 Ordu 9 0 0 9 0
Denizli 9 0 0 9 0 Rize 6 0 0 6 0
Diyarbakır 8 0 0 8 0 Samsun 12 0 0 12 0
Edirne 6 0 0 6 0 Siirt 4 0 0 4 0
Elazığ 5 0 0 5 0 Sinop 6 6 0 0 0
Erzincan 5 1 0 4 0 Sivas 14 0 0 14 0
Erzurum 12 0 0 12 0 Tekirdağ 6 0 0 6 0
Eskişehir 7 0 0 7 0 Tokat 9 0 0 9 0
Gaziantep 8 0 0 8 0 Trabzon 12 0 0 12 0
Giresun 8 0 0 8 0 Tunceli 3 2 0 1 0
Gümüşhane 6 0 0 6 0 Urfa 8 0 0 8 0
Hakkari 1 0 0 1 0 Uşak 4 0 0 4 0
Hatay 8 0 0 8 0 Van 4 0 0 4 0
Isparta 5 0 0 5 0 Yozgat 8 0 0 8 0
İçel 8 0 0 8 0 Zonguldak 11 0 0 11 0 11

İl Toplam CHP CMP DP HÜRRİYETPARTİSİ İl Toplam CHP CMP DP HÜRRİYETPARTİSİ
Toplam 610 178 4 424 4
Adana 16 16 0 0 0 İzmir 22 0 0 22 0
Adıyaman 5 0 0 5 0 Kars 12 12 0 0 0
Afyon 10 0 0 10 0 Kastamonu 10 0 0 10 0
Ağrı 5 0 0 5 0 Kayseri 11 0 0 11 0
Amasya 6 0 0 6 0 Kırklareli 6 0 0 6 0
Ankara 27 27 0 0 0 Kırşehir 4 0 4 0 0
Antalya 9 0 0 9 0 Kocaeli 6 0 0 6 0
Artvin 5 0 0 5 0 Konya 21 0 0 21 0
Aydın 11 0 0 11 0 Kütahya 8 0 0 8 0
Balıkesir 15 0 0 15 0 Malatya 9 9 0 0 0
Bilecik 4 0 0 4 0 Manisa 14 0 0 14 0
Bingöl 3 1 0 2 0 Maraş 9 9 0 0 0
Bitlis 3 0 0 3 0 Mardin 8 8 0 0 0
Bolu 8 0 0 8 0 Muğla 7 0 0 7 0
Burdur 4 0 0 0 4 Muş 4 1 0 3 0
Bursa 15 0 0 15 0 Nevşehir 4 0 0 4 0
Çanakkale 8 0 0 8 0 Niğde 7 6 0 1 0
Çankırı 6 6 0 0 0 Ordu 10 10 0 0 0
Çorum 10 0 0 10 0 Rize 6 0 0 6 0
Denizli 9 0 0 9 0 Sakarya 8 0 0 8 0
